"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","-----BEGIN CERTIFICATE----- MIIJBTCCBu2gAwIBAgIRAM1AfGGF7Fqs/uq08h0aUVcwDQYJKoZIhvcNAQELBQAw fTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAw MiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYx HTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIxMDgzMDIyMDAwMFoX DTIyMDgzMDIxNTk1OVowgbQxCzAJBgNVBAYTAkZSMRkwFwYDVQQHDBBQQVJJUyBM QSBERUZFTlNFMSAwHgYDVQQKDBdTRyBNSU4gVFJBTlMgRUNPTCBTT0xJRDEcMBoG A1UECwwTMDAwMiAxMzAwMTk1NDAwMDAyNTE1MDMGA1UEAwwsYXNzYWluaXNzZW1l bnQuZGV2ZWxvcHBlbWVudC1kdXJhYmxlLmdvdXYuZnIxEzARBgNVBAUTClMyMTA2 OTA4NDUwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDM2lq7eQoV9vvR EtbAuFeFe7ZpYkWCZ2HnYtB2fh9dJjHCsroH8TeBxMCLwhebtXFIo6fZH6lXU3/c dasCaUz3mtha/asntuJ55sje01FpFTpfcf7d7kQM7bPm/1RbHoKHCnPH4Yqu3QaC zM/eZBuNoWu1kgb5xRD6ADXWFyKZ1iBKDizCB7dtiljPede4B7Zham/ICccd1FIn m++B97SWTJyLje+AfjasO15PydSMVvVy7pY7qJDGgTQGqF78Dhp15a2QKDKI4vVa MJLXA+W69M5h9YrRNMvHaqWHYDXc9MF6B5hCWfUMcOPzf5Mt2l/c7Iy6eBdSxgAN VXoWP2K1AgMBAAGjggRGMIIEQjCB5AYIKwYBBQUHAQEEgdcwgdQwOAYIKwYBBQUH MAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVy MDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2Vydmlj ZXNjYS5kZXIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhp bXlvdGlzLmNvbTAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5j ZXJ0aWduYS5mcjAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAJBgNV HRMEAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYI KwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0 aWZpY2F0aW9uMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEu ZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNv bS9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8E BAMCBaAwgZ4GA1UdEQSBljCBk4Iwd3d3LmFzc2Fpbmlzc2VtZW50LmRldmVsb3Bw ZW1lbnQtZHVyYWJsZS5nb3V2LmZygixhc3NhaW5pc3NlbWVudC5kZXZlbG9wcGVt ZW50LWR1cmFibGUuZ291di5mcoIxd3d3Mi5hc3NhaW5pc3NlbWVudC5kZXZlbG9w cGVtZW50LWR1cmFibGUuZ291di5mcjAdBgNVHQ4EFgQUtzmywkO69l0fClbAt8Gf Wm7hXxIwggF8BgorBgEEAdZ5AgQCBIIBbASCAWgBZgB1AEalVet1+pEgMLWiiWn0 830RLEF0vv1JuIWr8vxw/m1HAAABe5tr4B4AAAQDAEYwRAIgb+Xmv0xCzhS+pL1T Pn3SpRQXxeHVHw1gciujewo+A4ACIBGOmbE9IArgdRQUwBJjs1eW2ot3tiPV/4py 97XNMjZmAHYAQcjKsd8iRkoQxqE6CUKHXk4xixsD6+tLx2jwkGKWBvYAAAF7m2vg 6QAABAMARzBFAiEAsnU0Kg6bdbW6dvz2jSU8cr1PAEiK6vwPzqN7E2X5d4MCIDGk pyjEy66zHp0Jyb3f6vkB9u2HSf/75PSoghxVn+5FAHUAb1N2rDHwMRnYmQCkURX/ dxUcEdkCwQApBo2yCJo32RMAAAF7m2vkHQAABAMARjBEAiB+67RyrmJEFZz6f321 MLeBEsjNcabIxo/jJBEnXqlj9AIgRzvdpxwzllwfNZnHGBt2W35N1wawzpaB5QaW exV18/IwDQYJKoZIhvcNAQELBQADggIBABQXsq4b7wvCE8E/CB4mrgKIh8Fmcc3g MvNEpJhALFlfsh3YvTburR9Z8C3CORk1rMAvOs/VfudoJU3qIfWehBkejC9VG5QQ QrBh4LqXy74gQ3Fx12AdVH4IHr4AwXyjTyFfknPDYg+f39gltwuyr1vFL+mTrHNg 1+UUOIWwbEjfetmZzevydq99QbbprxEkNdVLw4NJRZg9gzJ+xM9XwKpEDu5FdqQ3 f1vFE0G46DzNpybFhJ6WVU8flkqZGZJYK+6YOWXjMragS3vC3XQtO/x779vVZWff RgmmUkCanBItTX3HmHsfwI4WvwLvpjLCjkQUzmvVuP5o9aw4NEaS5BqE1WKzdtwQ dMh+7BLhmKV3/BypvYtkZUQVvlJKqXlUmc4gQhboULcsQhRcqkRQZp+J7d42n0A9 xrKP01myZPMDI6FocbJOWFxVKvLOClEiwrcbZkdxXyl49byT+/Nz/KZmBKaB4I7F +XjHBfatmqDoWEshUr+uFq9+ewZTONMZsNpHSOEyJuYwB4sciItmtXe3OcUOGsZc 75AMczykWXVMJqQWWTlq1tKgdTzqem4YRV3IRKKfKWkZ05UNQNK8pKg/PaYaoAJR Fp0Uvm25geg0qOJWesFWV0v/4dJ0sRSaHCFoNWJE+SMiMorsfg/B7NI3Q+KzYOoi 9sknTzOFwSmY -----END CERTIFICATE-----","",""
"cert_commonName","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","assainissement.developpement-durable.gouv.fr","",""
"cert_commonName_wo_SNI","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","www.1000paysages.gouv.fr","",""
"cert_subjectAltName","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","www.assainissement.developpement-durable.gouv.fr assainissement.developpement-durable.gouv.fr www2.assainissement.developpement-durable.gouv.fr","",""
"cert_trust","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","CRITICAL","Some certificate trust checks failed -> Java (chain incomplete)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","no","",""
"cert_expirationStatus","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","324 >= 60 days","",""
"cert_notBefore","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","2021-08-30 22:00","",""
"cert_notAfter","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","2022-08-30 21:59","",""
"cert_extlifeSpan","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","not present","",""
"cert_crlDistributionPoints","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","offered","",""
"cert_ocspRevoked","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","not revoked","",""
"cert_mustStapleExtension","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","--","",""
"DNS_CAArecord","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","issue=certigna.fr, issuewild=;","",""
"certificate_transparency","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","OK","yes (certificate extension)","",""
"certs_countServer","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","2","",""
"certs_list_ordering_problem","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","no","",""
"cert_caIssuers","www2.assainissement.developpement-durable.gouv.fr/37.235.89.249","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
